date,totalArticles,close,daily_return,volume change,spread,joy,fear,sadness,tentative,analytical,crossover_signal,vol_trend_signal,bollinger_signal,Positive Return
2020-12-19,18.0,23130.5,0.0133311720741953,-0.6814196389110019,0.0442271105305148,0.590572,0.5920340000000001,0.534758,0.515201,0.0,0.0,0.0,0.0,1.0
2020-12-20,6.0,23871.5,0.0320356239597068,0.0337452253815311,0.0643328952828884,0.529512,0.0,0.0,0.68286,0.0,1.0,-1.0,0.0,0.0
2020-12-21,14.0,23480.7,-0.0163709863226022,-0.0605946741906947,0.0508053536644115,0.5655060000000001,0.0,0.508825,0.594668,0.0,1.0,-1.0,0.0,0.0
2020-12-22,13.0,22716.1,-0.0325629133714072,0.8350916368698926,0.0938809580593506,0.589725,0.0,0.0,0.759095,0.0,-1.0,1.0,0.0,1.0
2020-12-23,10.0,23828.2,0.0489564669991768,-0.4688017578927357,0.0652508735027238,0.0,0.0,0.578295,0.716654,0.559117,1.0,-1.0,0.0,0.0
2020-12-24,6.0,23226.7,-0.0252431992345204,0.5416445765274036,0.060899131091802,0.0,0.0,0.582335,0.61468,0.0,-1.0,-1.0,0.0,1.0
2020-12-25,12.0,23718.6,0.0211782130048607,-0.456373142384988,0.0442186389959311,0.581339,0.0,0.0,0.734772,0.0,1.0,-1.0,0.0,1.0
2020-12-26,5.0,24698.6,0.0413177843548944,0.2871048986332642,0.0576296340018635,0.548562,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
2020-12-27,4.0,26441.2,0.0705546063339623,0.5614823841165446,0.0931030853552894,0.5242979999999999,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2020-12-28,12.0,26251.4,-0.007178191610063,0.4778106130723116,0.1028129278199243,0.554164,0.0,0.5568420000000001,0.783371,0.0,1.0,-1.0,0.0,1.0
2020-12-29,16.0,27029.5,0.0296403239446276,-0.4479350355485212,0.0535292324110069,0.5609649999999999,0.0,0.0,0.561068,0.0,1.0,1.0,0.0,1.0
2020-12-30,14.0,27376.2,0.0128267263545385,0.1050787980433722,0.0573460259204037,0.0,0.600483,0.0,0.625771,0.0,1.0,1.0,0.0,1.0
2020-12-31,27.0,28879.9,0.0549272725944434,0.1988788922195249,0.0593983094804976,0.0,0.0,0.0,0.713635,0.6437579999999999,1.0,1.0,0.0,1.0
2021-01-01,14.0,28959.2,0.0027458543831522,-0.2700192939905041,0.0501281163434903,0.762954,0.0,0.0,0.7592760000000001,0.0,1.0,1.0,0.0,1.0
2021-01-02,5.0,29398.9,0.0151834304815049,-0.2306272296405971,0.0344516806287423,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
2021-01-03,23.0,32238.8,0.0965988523380125,2.349215013578433,0.1434179062339491,0.596809,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,1.0
2021-01-04,22.0,33082.7,0.0261765326252838,-0.3813224265191648,0.0859526810159116,0.0,0.0,0.0,0.63377,0.0,1.0,-1.0,0.0,0.0
2021-01-05,57.0,32048.0,-0.0312761654883064,0.328751403797183,0.1732718308965109,0.543575,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,1.0
2021-01-06,42.0,34050.0,0.0624687968047927,-0.3189303845121302,0.1431763079640163,0.0,0.0,0.565921,0.664423,0.0,1.0,-1.0,0.0,1.0
2021-01-07,24.0,36876.7,0.0830161527165931,0.1240969433853951,0.1061859575855293,0.506745,0.0,0.0,0.578025,0.53776,1.0,-1.0,-1.0,1.0
2021-01-08,51.0,39489.0,0.0708387681110296,0.3102567755801484,0.1132496596462491,0.529254,0.0,0.613783,0.0,0.0,1.0,1.0,-1.0,1.0
2021-01-09,53.0,40666.7,0.0298234951505482,-0.1300500812368786,0.1360125604598749,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,0.0
2021-01-10,6.0,40252.1,-0.0101950736105953,-0.5743839339409178,0.0652688452472924,0.501276,0.0,0.5404720000000001,0.8752979999999999,0.0,1.0,-1.0,-1.0,0.0
2021-01-11,61.0,38170.5,-0.0517140720608365,1.4340020104214974,0.1630159376800938,0.0,0.0,0.0,0.606417,0.0,1.0,-1.0,-1.0,0.0
2021-01-12,52.0,35439.3,-0.0715526388179352,0.8563423302828816,0.2082220993809323,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0
2021-01-13,29.0,34046.4,-0.0393038237211231,-0.4920936671743781,0.1187732761539329,0.0,0.0,0.7158979999999999,0.680026,0.0,1.0,1.0,0.0,1.0
2021-01-14,29.0,37390.1,0.098210089759857,-0.044846442108094,0.1607047376183229,0.579226,0.0,0.589144,0.6114310000000001,0.0,1.0,-1.0,0.0,1.0
2021-01-15,29.0,39151.6,0.0471114011462927,-0.2010919016048828,0.0919601712752841,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.0
2021-01-16,25.0,36739.8,-0.0616015692845246,0.285793252112007,0.1358613550093937,0.0,0.0,0.596336,0.6496890000000001,0.610558,1.0,-1.0,0.0,0.0
2021-01-17,10.0,36014.6,-0.019738811860707,-0.3443276472186439,0.0709029353973101,0.599353,0.0,0.597262,0.0,0.0,1.0,-1.0,0.0,0.0
2021-01-18,9.0,35816.4,-0.0055033236520743,0.0198445334979926,0.0839727301759209,0.0,0.0,0.5712010000000001,0.0,0.0,1.0,1.0,0.0,1.0
